PM2.5,PM10,PM1.0,DATE,ID
4,6,4,2020-11-04 17:51:06,2
4,7,4,2020-11-04 17:51:37,2
4,7,4,2020-11-04 17:52:08,2
9,12,4,2020-11-04 17:52:43,2
9,10,4,2020-11-04 17:53:13,2
8,10,3,2020-11-04 17:53:44,2
6,8,3,2020-11-04 17:54:14,2
6,8,3,2020-11-04 17:54:44,2
3,6,3,2020-11-04 17:55:14,2
6,10,3,2020-11-04 17:55:50,2
7,9,4,2020-11-04 17:56:20,2
10,12,5,2020-11-04 17:56:50,2
7,8,5,2020-11-04 17:57:20,2
9,10,4,2020-11-04 17:57:51,2
7,7,5,2020-11-04 17:58:23,2
10,10,5,2020-11-04 17:58:55,2
6,8,3,2020-11-04 17:59:25,2
6,9,4,2020-11-04 17:59:56,2
5,8,5,2020-11-04 18:00:26,2
5,6,5,2020-11-04 18:00:57,2
6,6,4,2020-11-04 18:01:28,2
7,7,5,2020-11-04 18:01:59,2
11,11,6,2020-11-04 18:02:29,2
9,10,6,2020-11-04 18:02:59,2
7,8,5,2020-11-04 18:03:29,2
4,5,4,2020-11-04 18:04:00,2
4,6,4,2020-11-04 18:04:32,2
6,9,4,2020-11-04 18:05:02,2
6,8,4,2020-11-04 18:05:33,2
6,7,4,2020-11-04 18:06:04,2
11,11,5,2020-11-04 18:06:34,2
12,13,7,2020-11-04 18:07:06,2
13,14,5,2020-11-04 18:07:36,2
9,10,4,2020-11-04 18:08:07,2
8,10,3,2020-11-04 18:08:37,2
8,10,3,2020-11-04 18:09:07,2
6,10,4,2020-11-04 18:09:38,2
6,9,4,2020-11-04 18:10:08,2
4,6,4,2020-11-04 18:10:39,2
9,11,3,2020-11-04 18:11:10,2
12,13,4,2020-11-04 18:11:41,2
12,14,3,2020-11-04 18:12:11,2
6,8,4,2020-11-04 18:12:42,2
4,5,4,2020-11-04 18:13:12,2
4,5,4,2020-11-04 18:13:42,2
5,9,3,2020-11-04 18:14:13,2
9,13,4,2020-11-04 18:14:43,2
7,11,5,2020-11-04 18:15:13,2
7,11,5,2020-11-04 18:15:43,2
4,7,4,2020-11-04 18:16:14,2
3,6,3,2020-11-04 18:16:44,2
6,7,4,2020-11-04 18:17:14,2
5,7,3,2020-11-04 18:17:44,2
6,8,4,2020-11-04 18:18:15,2
3,5,3,2020-11-04 18:18:46,2
4,5,4,2020-11-04 18:19:16,2
5,7,3,2020-11-04 18:19:46,2
8,9,3,2020-11-04 18:20:17,2
