type 0,type 1,type 2,type 3,type 4,type 5,type 6,type 7,type 8,type 9,type 10,type 11,type 12,type 13,type 14,type 15,type 16,type 17,type 18,type 19,type 20,type 21,type 22,type 23,type 24,type 25,type 26,type 27,type 28,type 29,type 30,type 31,type 32,type 33,type 34,type 35,type 36,type 37,type 38,type 39,type 40,type 41,type 42,type 43,type 44,type 45,type 46,type 47,type 48,type 49,type 50,type 51,type 52,type 53,type 54,type 55,type 56,type 57,type 58,type 59,type 60,type 61,type 62,type 63,type 64,type 65,type 66,type 67,type 68,type 69,type 70,type 71,type 72,type 73,type 74,type 75,type 76,type 77,type 78,type 79,type 80,type 81,type 82,type 83,type 84,type 85,type 86,type 87,type 88,type 89,type 90,type 91,type 92,type 93,type 94,type 95,type 96,type 97,type 98,type 99
  73,  29,  28,  8,  59,  23,  13,  2,  39,  179,  21, 19,  15,  18,  21, 48, 41, 56, 56, 65, 53, 14, 10, 30, 34, 190, 48, 10, 10, 19, 15, 8, 10, 10, 7, 12, 8, 11, 9, 12, 8, 8, 13, 16, 7, 9, 11, 4, 7, 7, 6, 8, 14, 7, 4, 12, 7, 9, 8, 9, 5, 19, 28, 17, 21, 21, 19, 13, 12, 19, 14, 10, 17, 7, 22, 13, 7, 16, 11,  79, 32, 31, 37, 11,  22,  113, 39, 36, 30, 120, 105, 54, 20, 54, 198, 60, 27, 201, 81, 84
  66,  37,  17,  2,  74,  33,  32,  1,  8,  249,  29, 25,  36,  21,  21, 51, 41, 51, 55, 63, 56, 15, 7, 30, 25, 193, 53, 12, 16, 29, 17, 12, 9, 7, 12, 13, 9, 14, 9, 12, 7, 10, 8, 15, 6, 11, 12, 10, 9, 7, 5, 9, 17, 6, 7, 8, 6, 11, 7, 9, 6, 28, 24, 19, 25, 25, 19, 13, 15, 15, 18, 12, 13, 9, 18, 13, 9, 14, 18,  99, 36, 34, 33, 14,  22,  106, 33, 38, 35, 115, 101, 73, 27, 52, 190, 74, 38, 193, 104, 100
  71,  16,  22,  7,  38,  29,  16,  1,  7,  219,  13, 8,  44,  19,  34, 56, 47, 54, 61, 59, 53, 14, 7, 43, 19, 105, 54, 8, 14, 29, 13, 11, 8, 8, 12, 10, 10, 20, 11, 6, 4, 8, 6, 12, 8, 11, 15, 9, 12, 7, 3, 6, 14, 10, 7, 11, 6, 12, 7, 7, 8, 31, 22, 15, 21, 21, 19, 13, 12, 13, 17, 16, 10, 8, 21, 14, 11, 20, 18,  109, 50, 39, 35, 14,  33,  111, 40, 24, 18, 119, 117, 39, 28, 64, 110, 38, 33, 103, 108, 107
  69,  11,  10,  23,  48,  55,  6,  2,  17,  214,  50, 51,  34,  18,  42, 60, 46, 62, 66, 49, 57, 13, 9, 49, 14, 130, 53, 9, 24, 17, 15, 14, 10, 8, 16, 13, 9, 16, 11, 13, 4, 13, 7, 6, 11, 8, 14, 10, 9, 5, 7, 11, 11, 12, 6, 10, 3, 11, 8, 5, 10, 36, 11, 13, 21, 21, 19, 22, 10, 13, 15, 12, 6, 7, 16, 17, 14, 20, 17,  114, 50, 43, 34, 12,  43,  109, 56, 21, 6, 107, 117, 45, 20, 62, 132, 43, 52, 128, 112, 111
  133,  41,  9,  14,  35,  31,  18,  4,  7,  236,  21, 23,  32,  16,  24, 58, 46, 60, 51, 51, 60, 14, 10, 45, 14, 143, 63, 6, 22, 11, 10, 9, 10, 10, 14, 14, 13, 11, 8, 13, 4, 15, 5, 10, 14, 6, 13, 5, 6, 4, 10, 9, 6, 15, 5, 9, 5, 10, 10, 6, 10, 40, 11, 14, 21, 21, 20, 25, 8, 19, 10, 10, 8, 7, 16, 15, 15, 21, 10,  118, 49, 42, 33, 12,  44,  133, 66, 43, 36, 133, 142, 42, 24, 71, 145, 32, 30, 152, 118, 120
  95,  22,  19,  17,  68,  54,  18,  2,  6,  234,  22, 28,  37,  37,  34, 53, 39, 55, 44, 59, 58, 13, 11, 41, 25, 184, 67, 7, 20, 9, 13, 17, 10, 12, 13, 12, 12, 6, 8, 11, 8, 18, 9, 7, 10, 6, 7, 7, 6, 10, 13, 13, 6, 11, 5, 7, 7, 7, 8, 6, 7, 37, 15, 15, 19, 19, 21, 25, 11, 21, 14, 7, 8, 12, 10, 15, 13, 22, 8,  117, 59, 29, 37, 15,  34,  105, 61, 24, 27, 105, 99, 69, 35, 73, 189, 69, 56, 199, 122, 121
  57,  36,  18,  13,  80,  22,  4,  16,  5,  220,  41, 49,  44,  47,  51, 43, 43, 56, 58, 54, 53, 17, 13, 48, 58, 212, 51, 6, 14, 12, 11, 15, 7, 13, 20, 11, 12, 7, 9, 4, 10, 11, 11, 8, 10, 8, 8, 6, 7, 11, 10, 7, 5, 8, 5, 10, 9, 7, 10, 6, 4, 37, 15, 19, 18, 18, 20, 16, 9, 20, 13, 8, 12, 13, 10, 10, 11, 20, 12,  110, 67, 31, 46, 16,  61,  107, 61, 37, 39, 117, 98, 88, 56, 54, 222, 75, 21, 216, 115, 118
  59,  45,  33,  13,  41,  48,  25,  15,  18,  239,  32, 37,  58,  30,  99, 45, 45, 63, 62, 45, 55, 17, 20, 53, 83, 242, 38, 12, 13, 12, 9, 14, 5, 12, 17, 10, 9, 6, 8, 12, 16, 9, 12, 7, 7, 10, 10, 6, 7, 13, 9, 9, 5, 11, 5, 12, 9, 6, 9, 6, 6, 55, 19, 18, 20, 20, 19, 23, 9, 13, 11, 10, 13, 11, 9, 9, 8, 15, 11,  109, 78, 38, 48, 18,  89,  159, 75, 50, 47, 169, 157, 32, 27, 36, 251, 42, 57, 257, 112, 114
  73,  33,  15,  18,  75,  22,  18,  13,  18,  230,  24, 15,  44,  35,  93, 57, 39, 68, 46, 42, 56, 18, 18, 43, 74, 238, 35, 11, 17, 16, 9, 6, 4, 13, 21, 11, 10, 6, 9, 13, 12, 13, 9, 10, 8, 9, 9, 5, 4, 8, 6, 5, 6, 10, 8, 11, 7, 5, 16, 9, 10, 62, 22, 17, 23, 23, 17, 22, 11, 11, 9, 10, 14, 12, 11, 8, 7, 15, 14,  105, 66, 43, 45, 20,  83,  173, 74, 41, 34, 182, 178, 76, 44, 42, 243, 73, 21, 233, 105, 100
  74,  21,  21,  18,  41,  41,  17,  13,  15,  209,  46, 21,  44,  20,  86, 68, 42, 61, 46, 52, 53, 17, 25, 47, 98, 242, 37, 8, 16, 17, 10, 7, 7, 11, 12, 11, 17, 6, 7, 13, 13, 13, 14, 12, 8, 6, 6, 4, 5, 7, 9, 6, 9, 13, 11, 10, 6, 4, 11, 8, 12, 42, 24, 14, 26, 26, 17, 20, 15, 8, 10, 10, 14, 18, 8, 11, 10, 17, 10,  108, 63, 40, 48, 27,  96,  174, 77, 22, 18, 183, 184, 39, 25, 32, 245, 36, 41, 253, 110, 105
